id;phone_number;date_of_birth;jhi_index;year_of_enrollment;verification_number;is_approved;date_created;date_updated
1;connecting Romania;2021-02-25;98208;23505;navigate;false;2021-02-25T17:18:19;2021-02-25T14:15:12
2;Data SCSI Credit Card Account;2021-02-25;83357;93731;Haiti;true;2021-02-24T22:53:13;2021-02-25T05:08:52
3;networks;2021-02-25;82720;17142;User-centric;true;2021-02-25T08:34:44;2021-02-24T21:30:11
4;National Books;2021-02-25;28177;59170;withdrawal Tonga transmit;true;2021-02-25T01:44:29;2021-02-24T20:21:32
5;strategy scalable Generic;2021-02-25;31512;5616;lime Digitized Shoes;true;2021-02-25T16:29:32;2021-02-25T05:15:58
6;Product Dynamic;2021-02-25;17201;81932;deposit;true;2021-02-25T01:29:34;2021-02-25T10:01:07
7;Creek time-frame;2021-02-25;34340;83545;Maryland Awesome District;true;2021-02-25T16:40:55;2021-02-25T05:18:52
8;incubate engineer;2021-02-25;70669;77188;array customized;true;2021-02-25T11:19:45;2021-02-24T23:29:12
9;South Dakota;2021-02-25;72401;64078;El Salvador Avon Key;false;2021-02-25T16:35:25;2021-02-25T06:04:35
10;Orchard;2021-02-25;40574;46238;evolve ivory Computer;false;2021-02-25T17:04:00;2021-02-25T11:08:47
